Brazil	0.018471	0.446775	0.112959	0.153200	0.134167	0.134428
Croatia	0.645040	0.286073	0.047090	0.012672	0.007708	0.001417
Mexico	0.415462	0.440095	0.088618	0.031706	0.018147	0.005972
Cameroon	0.921027	0.077982	0.000927	0.000060	0.000004	0.000000
Spain	0.195652	0.213543	0.178778	0.114970	0.125945	0.171112
Netherlands	0.195328	0.214102	0.179516	0.114970	0.125460	0.170624
Chile	0.749464	0.205420	0.029241	0.009820	0.005062	0.000993
Australia	0.859556	0.116010	0.018332	0.004699	0.001182	0.000221
Colombia	0.593523	0.307987	0.084017	0.010630	0.003224	0.000619
Greece	0.401527	0.402672	0.170225	0.016833	0.007402	0.001341
Côte dIvoire	0.691747	0.232266	0.062930	0.009652	0.002768	0.000637
Japan	0.313203	0.400542	0.207414	0.045839	0.023589	0.009413
Uruguay	0.536621	0.204662	0.224626	0.021583	0.010368	0.002140
Costa Rica	0.860089	0.102495	0.034995	0.001997	0.000383	0.000041
England	0.083762	0.150665	0.325331	0.112996	0.134600	0.192646
Italy	0.519528	0.198711	0.235001	0.029094	0.014286	0.003380
Switzerland	0.335681	0.288893	0.246263	0.104696	0.019674	0.004793
Ecuador	0.586960	0.256388	0.116182	0.034128	0.005387	0.000955
France	0.293471	0.262161	0.257981	0.130794	0.038923	0.016670
Honduras	0.783888	0.154689	0.049730	0.010636	0.000969	0.000088
Argentina	0.278012	0.297738	0.241319	0.131050	0.036973	0.014908
Bosnia-Herzegovina	0.448579	0.298410	0.178120	0.064280	0.009137	0.001474
Iran	0.471789	0.285009	0.172520	0.061130	0.008192	0.001360
Nigeria	0.801620	0.156712	0.037051	0.004476	0.000140	0.000001
Germany	0.094132	0.138701	0.127778	0.266276	0.147743	0.225370
Portugal	0.437557	0.254774	0.131067	0.122953	0.037926	0.015723
Ghana	0.909989	0.069270	0.016334	0.004260	0.000142	0.000005
United States	0.558322	0.219445	0.109858	0.092517	0.016578	0.003280
Belgium	0.316409	0.423260	0.113988	0.114637	0.024752	0.006954
Algeria	0.867463	0.124529	0.006599	0.001371	0.000038	0.000000
Russia	0.318895	0.403830	0.118945	0.114365	0.031714	0.012251
Korea Republic	0.497233	0.366191	0.076265	0.051710	0.007417	0.001184
